商品,订单号,订单状态,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家编码-规格维度,商家编码-商品维度,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-421905109372720,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-08 09:46:07,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206873,快捷快物流,2026-06-07 19:32:25,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-026235379260584,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-08 09:46:07,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206874,快捷快物流,2026-06-07 19:32:22,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-278942247340013,已发货，待收货,168.99	,0.0	,0.0	,42.24	,0.0	,126.75	,168.99	,1	,2026-06-08 09:46:07,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206875,快捷快物流,2026-06-07 18:40:37,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-403754206860585,已发货，待收货,168.99	,0.0	,0.0	,3.0	,0.0	,165.99	,168.99	,1	,2026-06-08 09:46:07,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206876,快捷快物流,2026-06-07 17:48:22,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-537594467882172,已发货，待收货,168.99	,0.0	,0.0	,33.79	,0.0	,135.2	,168.99	,1	,2026-06-08 09:46:08,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206877,快捷快物流,2026-06-07 17:33:20,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-571662743891464,已发货，待收货,168.99	,0.0	,0.0	,16.89	,0.0	,152.1	,168.99	,1	,2026-06-08 09:46:08,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206878,快捷快物流,2026-06-07 17:19:13,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-027692910171075,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-07 16:33:51,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000205956,快捷快物流,2026-06-07 16:17:09,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-363289658943643,已发货，待收货,168.99	,0.0	,0.0	,42.24	,0.0	,126.75	,168.99	,1	,2026-06-07 16:17:31,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000205892,快捷快物流,2026-06-07 15:29:53,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-575301292423743,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-07 16:17:31,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000205894,快捷快物流,2026-06-07 15:25:47,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-101963568701004,已发货，待收货,168.99	,0.0	,0.0	,16.89	,0.0	,152.1	,168.99	,1	,2026-06-07 15:06:39,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000205367,快捷快物流,2026-06-07 13:44:51,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-418549634581388,已发货，待收货,168.99	,0.0	,0.0	,42.24	,0.0	,126.75	,168.99	,1	,2026-06-08 09:46:06,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000206872,快捷快物流,2026-06-07 20:09:18,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-142354727232541,已发货，待收货,168.99	,0.0	,0.0	,42.24	,0.0	,126.75	,168.99	,1	,2026-06-07 13:15:54,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000204708,快捷快物流,2026-06-07 13:08:45,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-202270348900492,已发货，待收货,168.99	,0.0	,0.0	,42.24	,0.0	,126.75	,168.99	,1	,2026-06-07 13:15:54,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000204709,快捷快物流,2026-06-07 12:59:47,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-484421168790671,已发货，待收货,168.99	,0.0	,0.0	,16.89	,0.0	,152.1	,168.99	,1	,2026-06-07 13:15:55,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000204711,快捷快物流,2026-06-07 11:21:46,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-273678374443837,已发货，待收货,168.99	,0.0	,0.0	,50.0	,0.0	,118.99	,168.99	,1	,2026-06-07 13:15:55,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000204712,快捷快物流,2026-06-07 10:47:01,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-161480753512665,已发货，待收货,168.99	,0.0	,0.0	,16.89	,0.0	,152.1	,168.99	,1	,2026-06-07 10:46:30,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000204197,快捷快物流,2026-06-07 10:43:07,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-153784226104069,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-07 10:46:30,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000204198,快捷快物流,2026-06-07 09:50:06,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-291189563022729,已发货，待收货,168.99	,0.0	,0.0	,25.34	,0.0	,143.65	,168.99	,1	,2026-06-07 09:31:29,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000203306,快捷快物流,2026-06-07 08:50:36,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260607-295667013134072,已发货，待收货,168.99	,0.0	,0.0	,35.48	,0.0	,133.51	,168.99	,1	,2026-06-07 09:31:29,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000203307,快捷快物流,2026-06-07 08:43:18,否,,	,
